en,ge,tr,fr,de,pt,nl,es,it,cn,no,se,dk,cs,pl,gr,jp,kr,rs,hr
total cases,ყველა შემთხვ.,toplam vaka,total des cas,Gesamtfälle,total de casos,totaal gevallen,Total de Casos,casi totali,总病例,totale tilfeller,totala antal fall,samlede sager,celkové případy,wszystkich przypadków,συνολικά περιπτώσεις,総症例,총 경우,ukupno slučajeva,ukupno slučajeva
January,იანვარი,Ocak,janvier,Januar,janeiro,januari,Enero,gennaio,一月,januar,januari,januar,leden,styczeń,Ιανουάριος,1月,일월,januar,Siječanj
February,თებერვალი,Şubat,février,Februar,fevereiro,februari,Febrero,febbraio,二月,februar,februari,februar,Únor,luty,Φεβρουάριος,2月,이월,februar,Veljača
March,მარტი,Mart,Mars,März,março,maart,Marzo,marzo,三月,mars,Mars,marts,březen,marzec,Μάρτιος,行進,행진,mart,Ožujak
April,აპრილი,Nisan,avril,April,abril,april,Abril,aprile,四月,april,april,April,duben,kwiecień,Απρίλιος,四月,4 월,april,Travanj
May,მაისი,Mayıs,Mai,Kann,maio,mei,Mayo,Maggio,可以,Kan,Maj,Kan,Smět,maj,Ενδέχεται,五月,할 수있다,maj,Svibanj
June,ივნისი,Haziran,juin,Juni,junho,juni,Junio,giugno,六月,juni,juni,juni,červen,czerwiec,Ιούνιος,六月,유월,jun,Lipanj
July,ივლისი,Temmuz,juillet,Juli,julho,juli,Julio,luglio,七月,juli,juli,juli,červenec,lipiec,Ιούλιος,七月,칠월,jul,Srpanj
August,აგვისტო,Ağustos,août,August,agosto,augustus,Agosto,agosto,八月,august,augusti,august,srpen,sierpień,Αύγουστος,八月,팔월,avgust,Kolovoz
Mauritius,მავრიტანია,Mauritius,Ile Maurice,Mauritius,Mauritius,Mauritius,Isla mauricio,Mauritius,毛里求斯,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Μαυρίκιος,モーリシャス,모리셔스,Mauricijus,Mauricijus
September,სექტემბერი,Eylül,septembre,September,setembro,september,Septiembre,settembre,九月,september,september,september,září,wrzesień,Σεπτέμβριος,九月,구월,septembar,Rujan
October,ოქტომბერი,Ekim,octobre,Oktober,outubro,oktober,Octubre,ottobre,十月,oktober,oktober,oktober,říjen,październik,Οκτώβριος,10月,십월,oktobar,Listopad
November,ნოემბერი,Kasım,novembre,November,novembro,november,Noviembre,novembre,十一月,november,november,november,listopad,listopad,Νοέμβριος,十一月,십일월,novembar,Studeni
December,დეკემბერი,Aralık,décembre,Dezember,dezembro,december,Diciembre,dicembre,十二月,desember,december,december,prosinec,grudzień,Δεκέμβριος,12月,12 월,decembar,Prosinac
Afghanistan,ავღანეთი,Afganistan,Afghanistan,Afghanistan,Afeganistão,Afghanistan,Afganistán,afghanistan,阿富汗,Afghanistan,Afghanistan,Afghanistan,Afghánistán,Afganistan,Αφγανιστάν,アフガニスタン,아프가니스탄,Avganistan,Afganistan
Albania,ალბანეთი,Arnavutluk,Albanie,Albanien,Albânia,Albanië,Albania,Albania,阿尔巴尼亚,albania,Albanien,Albanien,Albánie,Albania,Αλβανία,アルバニア,알바니아,Albanija,Albanija
Algeria,ალჯირი,Cezayir,Algérie,Algerien,Argélia,Algerije,Argelia,algeria,阿尔及利亚,Algerie,algeriet,Algeriet,Alžírsko,Algieria,Αλγερία,アルジェリア,알제리,Alžir,Alžir
Andorra,ანდორა,Andorra,Andorre,Andorra,Andorra,Andorra,Andorra,Andorra,安道尔,Andorra,andorra,Andorra,Andorra,Andora,Ανδόρα,アンドラ,안도라,Andora,Andora
Antigua and Barbuda,ანტიგუა და ბარბუდა,Antigua ve Barbuda,Antigua-et-Barbuda,Antigua und Barbuda,Antígua e Barbuda,Antigua en Barbuda,Antigua y Barbuda,Antigua e Barbuda,安提瓜和巴布达,Antigua og Barbuda,Antigua och Barbuda,Antigua og Barbuda,Antigua a Barbuda,Antigua i Barbuda,Αντίγκουα και Μπαρμπούντα,アンティグア・バーブーダ,앤티가 바부 다,Antigva i Barbuda,Antigva i Barbuda
Argentina,არგენტინა,Arjantin,Argentine,Argentinien,Argentina,Argentinië,Argentina,Argentina,阿根廷,Argentina,argentina,Argentina,Argentina,Argentyna,Αργεντίνη,アルゼンチン,아르헨티나,Argentina,Argentina
Armenia,სომხეთი,Ermenistan,Arménie,Armenien,Armênia,Armenië,Armenia,Armenia,亚美尼亚,Armenia,Armenien,Armenien,Arménie,Armenia,Αρμενία,アルメニア,아르메니아,Jermenija,Armenija
Aruba,არუბა,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,aruba,阿鲁巴,Aruba,Aruba,Aruba,Aruba,Aruba,Αρούμπα,アルバ,아루바,Aruba,Aruba
Australia,ავსტრალია,Avustralya,Australie,Australien,Austrália,Australië,Australia,Australia,澳大利亚,Australia,Australien,Australien,Austrálie,Australia,Αυστραλία,オーストラリア,호주,Australija,Australija
Austria,ავსტრია,Avusturya,L'Autriche,Österreich,Áustria,Oostenrijk,Austria,Austria,奥地利,Østerrike,österrike,Østrig,Rakousko,Austria,Αυστρία,オーストリア,오스트리아,Austrija,Austrija
Azerbaijan,აზერბაიჯანი,Azerbeycan,Azerbaïdjan,Aserbaidschan,Azerbaijão,Azerbeidzjan,Azerbaiyán,Azerbaijan,阿塞拜疆,Aserbajdsjan,Azerbajdzjan,Aserbajdsjan,Ázerbajdžán,Azerbejdżan,Αζερμπαϊτζάν,アゼルバイジャン,아제르바이잔,Azerbejdžan,Azerbejdžan
Bahrain,ბაჰრეინი,Bahreyn,Bahreïn,Bahrein,Bahrain,Bahrein,Bahrein,Bahrain,巴林,Bahrain,Bahrain,Bahrain,Bahrain,Bahrajn,Μπαχρέιν,バーレーン,바레인,Bahrein,Bahrein
Bangladesh,ბანგლადეში,Bangladeş,Bangladesh,Bangladesch,Bangladesh,Bangladesh,Bangladesh,Bangladesh,孟加拉国,Bangladesh,Bangladesh,Bangladesh,Bangladéš,Bangladesz,Μπαγκλαντές,バングラデシュ,방글라데시,Bangladeš,Bangladeš
Belarus,ბელორუსია,Belarus,Biélorussie,Weißrussland,Belarus,Wit-Rusland,Bielorrusia,Bielorussia,白俄罗斯,Hviterussland,Vitryssland,Hviderusland,Bělorusko,Białoruś,Λευκορωσία,ベラルーシ,벨라루스,Belorusija,Bjelorusija
Belgium,ბელგია,Belçika,Belgique,Belgien,Bélgica,België,Bélgica,Belgio,比利时,Belgia,belgien,Belgien,Belgie,Belgia,Βέλγιο,ベルギー,벨기에,Belgija,Belgija
Bhutan,ბუტანის,Butan,Bhoutan,Bhutan,Butão,Bhutan,Bután,Bhutan,不丹,Bhutan,bhutan,Bhutan,Bhútán,Bhutan,Μπουτάν,ブータン,부탄,Butan,Butan
Bolivia,ბოლივიის,Bolivya,Bolivie,Bolivien,Bolívia,Bolivia,Bolivia,Bolivia,玻利维亚,Bolivia,Bolivia,Bolivia,Bolívie,Boliwia,Βολιβία,ボリビア,볼리비아,Bolivija,Bolivija
Bosnia and Herzegovina,ბოსნია და ჰერცოგოვინა,Bosna Hersek,Bosnie Herzégovine,Bosnien und Herzegowina,Bósnia e Herzegovina,Bosnië-Herzegovina,Bosnia y Herzegovina,Bosnia Erzegovina,波斯尼亚和黑塞哥维那,Bosnia og Herzegovina,Bosnien och Hercegovina,Bosnien-Hercegovina,Bosna a Hercegovina,Bośnia i Hercegowina,Βοσνία και Ερζεγοβίνη,ボスニア・ヘルツェゴビナ,보스니아 헤르체고비나,Bosna i Hercegovina,Bosna i Hercegovina
Brazil,ბრაზილია,Brezilya,Brésil,Brasilien,Brasil,Brazilië,Brasil,Brasile,巴西,Brasil,Brasilien,Brasilien,Brazílie,Brazylia,Βραζιλία,ブラジル,브라질,Brazil,Brazil
Brunei,ბრუნეი,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,文莱,Brunei,Brunei,Brunei,Brunej,Brunei,Μπρουνέι,ブルネイ,브루나이,Brunej,Brunei
Bulgaria,ბულგარეთი,Bulgaristan,Bulgarie,Bulgarien,Bulgária,Bulgarije,Bulgaria,Bulgaria,保加利亚,Bulgaria,bulgarien,Bulgarien,Bulharsko,Bułgaria,Βουλγαρία,ブルガリア,불가리아,Bugarska,Bugarska
Burkina Faso,ბურკინა ფასო,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,布基纳法索,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Μπουρκίνα Φάσο,ブルキナファソ,부키 나 파소,Burkina Faso,Burkina Faso
Cambodia,კამბოჯა,Kamboçya,Cambodge,Kambodscha,Camboja,Cambodja,Camboya,Cambogia,柬埔寨,Kambodsja,Kambodja,Cambodja,Kambodža,Kambodża,Καμπότζη,カンボジア,캄보디아,Kambodža,Kambodža
Cameroon,კამერუნი,Kamerun,Cameroun,Kamerun,Camarões,Kameroen,Camerún,Camerun,喀麦隆,Kamerun,Kamerun,Cameroun,Kamerun,Kamerun,Καμερούν,カメルーン,카메룬,Kamerun,Kamerun
Canada,კანადა,Kanada,Canada,Kanada,Canadá,Canada,Canadá,Canada,加拿大,Canada,kanada,Canada,Kanada,Kanada,Καναδάς,カナダ,캐나다,Kanada,Kanada
Cayman Islands,კაიმანის კუნძულები,Cayman Adaları,Îles Caïmans,Cayman Inseln,Ilhas Cayman,Kaaiman Eilanden,Islas Caimán,Isole Cayman,开曼群岛,Caymanøyene,Caymanöarna,Caymanøerne,Kajmanské ostrovy,Kajmany,νησιά Καϊμάν,ケイマン諸島,케이맨 제도,Kajmanska Ostrva,Kajmanski otoci
Chile,ჩილე,Şili,Chili,Chile,Chile,Chili,Chile,Chile,智利,Chile,Chile,Chile,Chile,Chile,χιλή,チリ,칠레,Čile,Čile
China,ჩინეთი,Çin,Chine,China,China,China,China,Cina,中国,Kina,Kina,Kina,Čína,Chiny,Κίνα,中国,중국,Kina,Kina
Colombia,კოლუმბია,Kolombiya,Colombie,Kolumbien,Colômbia,Colombia,Colombia,Colombia,哥伦比亚,Colombia,colombia,Colombia,Kolumbie,Kolumbia,Κολομβία,コロンビア,콜롬비아,Kolumbija,Kolumbija
Congo,კონგო,Kongo,Congo,Kongo,Congo,Congo,Congo,Congo,刚果,Kongo,kongo,Congo,Congo,Kongo,Κογκό,コンゴ,콩고,Kongo,Kongo
Costa Rica,კოსტა - რიკა,Kostarika,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,哥斯达黎加,Costa Rica,Costa Rica,Costa Rica,Kostarika,Kostaryka,Κόστα Ρίκα,コスタリカ,코스타리카,Kostarika,Kostarika
Cote d'Ivoire,კოტ დივუარი,Fildişi Sahili,Côte d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Costa de Marfil,Costa d'Avorio,科特迪瓦,Elfenbenskysten,Elfenbenskusten,Elfenbenskysten,Pobřeží slonoviny,Wybrzeże Kości Słoniowej,Ακτή Ελεφαντοστού,コートジボアール,코트 디부 아르,Obala Slonovače,Obala Bjelokosti
Croatia,ხორვატია,Hırvatistan,Croatie,Kroatien,Croácia,Kroatië,Croacia,Croazia,克罗地亚,Kroatia,kroatien,Kroatien,Chorvatsko,Chorwacja,Κροατία,クロアチア,크로아티아,Hrvatska,Hrvatska
Cuba,კუბა,Küba,Cuba,Kuba,Cuba,Cuba,Cuba,Cuba,古巴,Cuba,kuba,Cuba,Kuba,Kuba,Κούβα,キューバ,쿠바,Kuba,Kuba
Cyprus,კვიპროსი,Kıbrıs,Chypre,Zypern,Chipre,Cyprus,Chipre,Cipro,塞浦路斯,Kypros,cypern,Cypern,Kypr,Cypr,Κύπρος,キプロス,키프로스,Kipar,Cipar
Czech Republic,ჩეხეთის რესპუბლიკა,Çek Cumhuriyeti,République Tchèque,Tschechische Republik,República Checa,Tsjechië,Republica checa,Repubblica Ceca,捷克共和国,Tsjekkisk Republikk,Tjeckien,Tjekkiet,Česká republika,Republika Czeska,Τσεχική Δημοκρατία,チェコ共和国,체코 공화국,Češka Republika,Češka
Denmark,დანია,Danimarka,Danemark,Dänemark,Dinamarca,Denemarken,Dinamarca,Danimarca,丹麦,Danmark,Danmark,Danmark,Dánsko,Dania,Δανία,デンマーク,덴마크,Danska,Danska
Diamond Princess,საკრუიზო გემი,Elmas Prenses,diamond Princess,diamond Princess,diamond Princess,Diamond Princess,Diamond Princess,Diamond Princess,钻石公主号,Diamond Princess,Diamond Princess,Diamond Princess,Diamond Princess,Diamond Princess,Diamond Princess,ダイヤモンドプリンセス,다이아몬드 프린세스,Dijamantska Princeza,Dijamantna princeza
Dominican Republic,დომინიკის რესპუბლიკა,Dominik Cumhuriyeti,République Dominicaine,Dominikanische Republik,República Dominicana,Dominicaanse Republiek,República Dominicana,Repubblica Dominicana,多明尼加共和国,den dominikanske republikk,Dominikanska republiken,Dominikanske republik,Dominikánská republika,Republika Dominikany,Δομινικανή Δημοκρατία,ドミニカ共和国,도미니카 공화국,Dominikanska Republika,Dominikanska Republika
Ecuador,ეკვადორი,Ekvador,Equateur,Ecuador,Equador,Ecuador,Ecuador,Ecuador,厄瓜多尔,Ecuador,ecuador,Ecuador,Ekvádor,Ekwador,Εκουαδόρ,エクアドル,에콰도르,Ekvador,Ekvador
Egypt,ეგვიპტე,Mısır,Egypte,Ägypten,Egito,Egypte,Egipto,Egitto,埃及,Egypt,egypten,Egypten,Egypt,Egipt,Αίγυπτος,エジプト,이집트,Egipat,Egipat
Estonia,ესტონეთი,Estonya,Estonie,Estland,Estônia,Estland,Estonia,Estonia,爱沙尼亚,Estland,estland,Estland,Estonsko,Estonia,Εσθονία,エストニア,에스토니아,Estonija,Estonija
Ethiopia,ეთიოპია,Etiyopya,Ethiopie,Äthiopien,Etiópia,Ethiopië,Etiopía,Etiopia,埃塞俄比亚,Etiopia,etiopien,Etiopien,Etiopie,Etiopia,Αιθιοπία,エチオピア,에티오피아,Etiopija,Etiopija
Finland,ფინეთი,Finlandiya,Finlande,Finnland,Finlândia,Finland,Finlandia,Finlandia,芬兰,Finland,finland,Finland,Finsko,Finlandia,Φινλανδία,フィンランド,핀란드,Finska,Finska
France,საფრანგეთი,Fransa,France,Frankreich,França,Frankrijk,Francia,Francia,法国,Frankrike,Frankrike,Frankrig,Francie,Francja,Γαλλία,フランス,프랑스,Francuska,Francuska
French Guiana,ფრანგული გუიანა,Fransız Guyanası,Guyane Française,Französisch-Guayana,Guiana Francesa,Frans-Guyana,Guayana francés,Guiana francese,法属圭亚那,fransk Guyana,Franska Guyana,Fransk Guiana,francouzské Guyany,Gujana Francuska,Γαλλική Γουιάνα,フランス領ギアナ,프랑스 령 기아나,Francuska Gana,Francuska Gvajana
Georgia,საქართველო,Gürcistan,Géorgie,Georgia,Georgia,Georgië,Georgia,Georgia,格鲁吉亚,Georgia,georgien,Georgien,Georgia,Gruzja,Γεωργία,ジョージア,그루지야,Džordžija,Gruzija
Germany,გერმანია,Almanya,Allemagne,Deutschland,Alemanha,Duitsland,Alemania,Germania,德国,Tyskland,Tyskland,Tyskland,Německo,Niemcy,Γερμανία,ドイツ,독일,Nemačka,Njemačka
Greece,საბერძნეთი,Yunanistan,Grèce,Griechenland,Grécia,Griekenland,Grecia,Grecia,希腊,Hellas,Grekland,Grækenland,Řecko,Grecja,Ελλάδα,ギリシャ,그리스,Grčka,Grčka
Guadeloupe,გვადალუპე,Guadeloupe,Guadeloupe,Guadeloupe,Guadalupe,Guadeloupe,Guadalupe,Guadeloupe,瓜德罗普岛,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Gwadelupa,Γουαδελούπη,グアドループ,과들루프,Gvadelupe,Gvadalupa
Guinea,გვინეა,Gine,Guinée,Guinea,Guiné,Guinea,Guinea,Guinea,几内亚,Guinea,Guinea,Guinea,Guinea,Gwinea,Γκινέα,ギニア,기니,Gvineja,Gvineja
Guyana,გაიანა,Guyana,Guyane,Guyana,Guiana,Guyana,Guayana,Guyana,圭亚那,Guyana,Guyana,Guyana,Guyana,Gujana,Γουιάνα,ガイアナ,가이아나,Gana,Gvajana
Honduras,ჰონდურასი,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,洪都拉斯,Honduras,Honduras,Honduras,Honduras,Honduras,Ονδούρα,ホンジュラス,온두라스,Honduras,Honduras
Hungary,უნგრეთი,Macaristan,Hongrie,Ungarn,Hungria,Hongarije,Hungría,Ungheria,匈牙利,Ungarn,Ungern,Ungarn,Maďarsko,Węgry,Ουγγαρία,ハンガリー,헝가리,Mađarska,Mađarska
Iceland,ისლანდია,İzlanda,Islande,Island,Islândia,IJsland,Islandia,Islanda,冰岛,Island,Island,Island,Island,Islandia,Ισλανδία,アイスランド,아이슬란드,Island,Island
India,ინდოეთი,Hindistan,Inde,Indien,Índia,Indië,India,India,印度,India,Indien,Indien,Indie,Indie,Ινδία,インド,인도,Indija,Indija
Indonesia,ინდონეზია,Endonezya,Indonésie,Indonesien,Indonésia,Indonesië,Indonesia,Indonesia,印度尼西亚,Indonesia,indonesien,Indonesien,Indonésie,Indonezja,Ινδονησία,インドネシア,인도네시아,Indonezija,Indonezija
Iran,ირანი,İran,Iran,Iran,Iran,Iran,Iran,Iran,伊朗,Iran,iran,Iran,Írán,Iran,Ιράν,イラン,이란,Iran,Iran
Iraq,ერაყი,Irak,Irak,Irak,Iraque,Irak,Irak,Iraq,伊拉克,Irak,irak,Irak,Irák,Irak,Ιράκ,イラク,이라크,Irak,Irak
Ireland,ირლანდია,İrlanda,Irlande,Irland,Irlanda,Ierland,Irlanda,Irlanda,爱尔兰,Irland,irland,Irland,Irsko,Irlandia,Ιρλανδία,アイルランド,아일랜드,Irska,Irska
Israel,ისრაელი,İsrail,Israël,Israel,Israel,Israël,Israel,Israele,以色列,Israel,Israel,Israel,Izrael,Izrael,Ισραήλ,イスラエル,이스라엘,Izrael,Izrael
Italy,იტალია,İtalya,Italie,Italien,Itália,Italië,Italia,Italia,意大利,Italia,Italien,Italien,Itálie,Włochy,Ιταλία,イタリア,이탈리아,Italija,Italija
Jamaica,იამაიკა,Jamaika,Jamaïque,Jamaika,Jamaica,Jamaica,Jamaica,Giamaica,牙买加,Jamaica,Jamaica,Jamaica,Jamaica,Jamajka,Ιαμαϊκή,ジャマイカ,자메이카,Jamajka,Jamajka
Japan,იაპონია,Japonya,Japon,Japan,Japão,Japan,Japón,Giappone,日本,Japan,Japan,Japan,Japonsko,Japonia,Ιαπωνία,日本,일본,Japan,Japan
Jordan,იორდანია,Ürdün,Jordan,Jordan,Jordânia,Jordanië,Jordán,Giordania,约旦,Jordan,Jordanien,Jordan,Jordán,Jordania,Ιορδανία,ヨルダン,요르단,Jordan,Jordan
Kazakhstan,ყაზახეთი,Kazakistan,Kazakhstan,Kasachstan,Cazaquistão,Kazachstan,Kazajstán,Kazakistan,哈萨克斯坦,Kasakhstan,Kazakstan,Kasakhstan,Kazachstán,Kazachstan,Καζακστάν,カザフスタン,카자흐스탄,Kazahtstan,Kazahstan
Kenya,კენია,Kenya,Kenya,Kenia,Quênia,Kenia,Kenia,Kenia,肯尼亚,Kenya,kenya,Kenya,Keňa,Kenia,Κενύα,ケニア,케냐,Kenija,Kenija
Kuwait,ქუვეითი,Kuveyt,Koweit,Kuwait,Kuweit,Koeweit,Kuwait,Kuwait,科威特,Kuwait,kuwait,Kuwait,Kuvajt,Kuwejt,Κουβέιτ,クウェート,쿠웨이트,Kuvajt,Kuvajt
Latvia,ლატვია,Letonya,Lettonie,Lettland,Letônia,Letland,Letonia,Lettonia,拉脱维亚,Latvia,lettland,Letland,Lotyšsko,Łotwa,Λετονία,ラトビア,라트비아,Letonija,Letonija
